run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
0,MOGWO,2,11,0.083932,0.063060
0,MOGWO,4,15,0.083983,0.063097
0,MOGWO,6,17,0.084340,0.063366
0,MOGWO,8,15,0.085240,0.064042
0,MOGWO,10,18,0.086262,0.064810
0,MOGWO,12,26,0.086973,0.065344
0,MOGWO,14,25,0.088227,0.066287
0,MOGWO,16,32,0.088776,0.066698
0,MOGWO,18,32,0.089074,0.066923
0,MOGWO,20,25,0.091195,0.068517
0,MOGWO,22,24,0.091526,0.068765
0,MOGWO,24,28,0.095430,0.071698
0,MOGWO,26,28,0.096829,0.072749
0,MOGWO,28,27,0.097442,0.073210
0,MOGWO,30,26,0.097901,0.073554
0,MOGWO,32,36,0.099420,0.074696
0,MOGWO,34,40,0.108387,0.081433
0,MOGWO,36,41,0.111153,0.083511
0,MOGWO,38,45,0.112185,0.084286
0,MOGWO,40,46,0.112496,0.084520
0,MOGWO,42,42,0.114175,0.085782
0,MOGWO,44,34,0.118297,0.088878
0,MOGWO,46,35,0.119637,0.089885
0,MOGWO,48,37,0.123121,0.092503
0,MOGWO,50,40,0.123328,0.092658
0,MOGWO,52,43,0.124165,0.093287
0,MOGWO,54,49,0.124198,0.093312
0,MOGWO,56,54,0.124403,0.093466
0,MOGWO,58,55,0.124429,0.093485
0,MOGWO,60,61,0.124608,0.093620
0,MOGWO,62,67,0.126250,0.094853
0,MOGWO,64,57,0.127785,0.096007
0,MOGWO,66,59,0.127889,0.096085
0,MOGWO,68,60,0.129644,0.097404
0,MOGWO,70,63,0.134885,0.101341
0,MOGWO,72,59,0.135486,0.101792
0,MOGWO,74,54,0.136097,0.102252
0,MOGWO,76,55,0.139170,0.104560
0,MOGWO,78,56,0.139181,0.104569
0,MOGWO,80,57,0.139666,0.104933
0,MOGWO,82,55,0.139966,0.105159
0,MOGWO,84,57,0.140057,0.105227
0,MOGWO,86,57,0.147876,0.111101
0,MOGWO,88,58,0.147887,0.111110
