run,algorithm,makespan,energy,radar_risk
0,MOGWO,917.000000,1990.194207,0.000000
0,MOGWO,912.000000,2052.763323,1877.823269
0,MOGWO,915.000000,2087.194758,310.015172
0,MOGWO,915.000000,1981.984405,617.952036
0,MOGWO,914.000000,1944.456599,1555.788048
0,MOGWO,913.000000,1656.886710,2020.301737
0,MOGWO,909.000000,1911.588856,2173.487717
0,MOGWO,905.000000,2024.544494,4080.945002
0,MOGWO,915.000000,1942.043299,773.079008
0,MOGWO,915.000000,1619.305249,6676.651058
0,MOGWO,904.000000,1889.807290,4912.556905
0,MOGWO,917.000000,1604.814279,1393.185235
0,MOGWO,914.000000,1638.334502,6177.922860
0,MOGWO,912.000000,1854.599294,2472.062990
0,MOGWO,897.000000,1887.777205,10660.691035
0,MOGWO,904.000000,1744.638377,8908.711914
0,MOGWO,914.000000,1618.602509,7811.684169
0,MOGWO,919.000000,1470.277241,0.000000
0,MOGWO,917.000000,1817.519334,1391.330034
0,MOGWO,915.000000,1756.158501,1716.858856
0,MOGWO,918.000000,1404.086576,6689.144458
0,MOGWO,909.000000,1651.463572,6365.629154
0,MOGWO,906.000000,1887.569722,3584.923433
0,MOGWO,913.000000,1529.034237,8482.193237
0,MOGWO,902.000000,1929.771462,8940.294461
0,MOGWO,907.000000,1683.591121,10719.499883
0,MOGWO,905.000000,1714.883059,15253.039461
0,MOGWO,906.000000,1824.152983,6295.248215
0,MOGWO,920.000000,1444.655588,462.933551
0,MOGWO,927.000000,1345.109918,0.000000
0,MOGWO,924.000000,1439.636080,0.000000
0,MOGWO,925.000000,1439.058145,0.000000
0,MOGWO,915.000000,1785.351420,1399.030920
0,MOGWO,916.000000,1620.367029,3262.069294
0,MOGWO,917.000000,1584.068698,2644.812962
0,MOGWO,916.000000,1608.291592,4751.105948
0,MOGWO,924.000000,1358.097915,629.048434
0,MOGWO,923.000000,1374.931916,4503.247369
0,MOGWO,919.000000,1456.512007,4359.246743
0,MOGWO,921.000000,1388.315755,1240.259912
0,MOGWO,922.000000,1391.140733,154.533434
0,MOGWO,920.000000,1392.712596,4082.205079
0,MOGWO,918.000000,1458.215042,154.158004
0,MOGWO,903.000000,1890.875342,5610.698431
0,MOGWO,903.000000,1764.054562,8472.560455
0,MOGWO,908.000000,1800.493239,5838.005341
0,MOGWO,913.000000,1654.135643,4100.160795
0,MOGWO,905.000000,1744.438270,9251.651933
0,MOGWO,910.000000,1562.785279,8039.726559
0,MOGWO,905.000000,1645.422240,16502.447764
0,MOGWO,906.000000,1608.424295,11676.776810
0,MOGWO,908.000000,1638.373677,10708.322303
0,MOGWO,906.000000,1539.954491,15544.033405
0,MOGWO,916.000000,1555.534156,7046.915134
0,MOGWO,920.000000,1431.608132,3570.397611
0,MOGWO,908.000000,1493.864229,11992.071452
0,MOGWO,914.000000,1437.634436,12113.413319
0,MOGWO,920.000000,1410.556995,3716.788688
0,MOGWO,917.000000,1497.950711,6257.286376
0,MOGWO,907.000000,1812.578152,3630.384979
0,MOGWO,912.000000,1808.864666,4368.882254
0,MOGWO,903.000000,1726.471447,10800.882019
0,MOGWO,909.000000,1705.236636,4667.116610
0,MOGWO,912.000000,1517.673019,10294.141529
0,MOGWO,915.000000,1509.749530,8460.371204
0,MOGWO,918.000000,1402.187789,10860.888637
0,NSGA-II,926.000000,1257.402085,0.000000
0,NSGA-II,925.000000,1306.596366,0.000000
0,NSGA-II,919.000000,1416.629366,0.000000
0,NSGA-II,917.000000,1657.383910,0.000000
0,NSGA-II,916.000000,1675.710111,0.000000
0,NSGA-II,913.000000,1679.654846,0.000000
0,NSGA-II,912.000000,1738.046154,0.000000
0,NSGA-II,906.000000,1891.298360,0.000000
0,NSGA-II,905.000000,2162.497164,153.797125
0,NSGA-II,904.000000,2027.730491,153.924867
0,NSGA-II,918.000000,1571.760105,155.247049
0,NSGA-II,925.000000,1187.770818,308.977774
0,NSGA-II,912.000000,1648.359404,463.356376
0,NSGA-II,905.000000,1973.553152,620.798573
0,NSGA-II,909.000000,1803.866883,926.737696
0,NSGA-II,917.000000,1600.002922,933.066722
0,NSGA-II,903.000000,2077.857139,1545.702973
0,NSGA-II,911.000000,1794.428768,1708.649154
0,NSGA-II,918.000000,1552.909119,1870.024967
0,NSGA-II,918.000000,1499.070633,2166.424026
0,NSGA-II,917.000000,1590.353952,2624.996543
